index,Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,Notes
1588,AKT,FOXO1,negative,BL,direct,1,regulates,"Replaces AKT -| FOXO1FOXO3. FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges."
1589,AKT,FOXO3,negative,BL,direct,1,regulates,"Replaces AKT -| FOXO1FOXO3. FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges."
1590,pertuzumab,HER2HER3c,negative ,BL,direct,1,regulates,"Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1591,HER3,HER2HER3c,positive,BS,,0,necessary,Replaces HER2 -> HER3. This edge represents HER3's participation in the HER2HER3c heterodimer complex.
1592,pertuzumab,HER2HER3c,negative ,BS,direct,1,regulates,"Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1593,AKT,FOXO1,negative,HL,direct,1,regulates,"Replaces AKT -| FOXO1FOXO3. FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges."
1594,AKT,FOXO3,negative,HL,direct,1,regulates,"Replaces AKT -| FOXO1FOXO3. FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges."
1595,pertuzumab,HER2HER3c,negative ,HL,direct,1,regulates,"Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1596,pertuzumab,HER2HER3c,negative ,HS,direct,1,regulates,"Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1597,HER2,HER2HER3c,positive,MCF7,,0,necessary,"Replaces HER2 -> HER2HER3c. The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node."
1598,HER3,HER2HER3c,positive,MCF7,,0,necessary,Replaces HER3 -> HER2. The HER2-HER3 heterodimer formation is represented with a separate HER2HER3c node. HER3 does not have any effect on HER2 outside of heterodimer formation.
1599,mTORC2_ic,SGK1,positive,MCF7,direct,1,necessary,"Replaces mTORC2_pm -> SGK1. phosphorylation. Intracellular mTORC2 directly phosphorylates the SGK1 hydrophobic-motif site Ser422, enabling subsequent activation by PDK1."
1600,NFKB,IL1B,positive,MCF7,direct,1,regulates,Replaces RELA -> IL1B. regulation of transcription. NF-κB binds the IL1B promoter/regulatory regions and activates IL1B transcription.
1601,PDK1_ic,SGK1,positive,MCF7,direct,1,necessary,"Replaces PDK1_PM -> SGK1. phosphorylation. Intracellular PDK1 phosphorylates SGK1 at Thr256 in its activation loop, producing full kinase activation after the hydrophobic-motif site (Ser422) has been phosphorylated by mTORC2."
1602,FOXO1,FOXO1FOXO3,positive ,merge,,0,regulates,"FOXO1FOXO3 is a union of the FOXO1 and FOXO3 nodes, which are separate in other partial models. Its activity means that either FOXO1 or FOXO3 is active. This edge represents inclusion."
1603,FOXO3,FOXO1FOXO3,positive,merge,,0,regulates,"FOXO1FOXO3 is a union of the FOXO1 and FOXO3 nodes, which are separate in other partial models. Its activity means that either FOXO1 or FOXO3 is active. This edge represents inclusion."
1604,p21,p21_p27,positive,merge,,0,regulates,The p21_p27 node of the Z17 and Z21 models is a union of p21 and p27. Other models contain p21 as a separate node. This edge is needed for the model integration.
1605,p21_T,p21,positive,merge,direct,1,regulates,protein translation. The p21_T and p21 nodes are in different partial models; this edge is needed for the model integration.
1606,pRB,RB,negative,merge,,0,regulates,"This edge represents the negative causality from pRB to RB. RB represents the unphosphorylated form of the retinoblastoma protein, and pRB represents the hyperphosphorylated form. Some models have RB, and the Z17 and Z21 models have pRB, as well as higher levels of phosphorylation."
1607,RB,pRB,negative,merge,,0,regulates,"RB represents the unphosphorylated form of the retinoblastoma protein, and pRB represents the phosphorylated form. Some models have RB, and the Z17 and Z21 models have pRB, as well as higher levels of phosphorylation. This edge represents the negative causality from RB to pRB."
1608,AKT,FOXO1,negative,SL,direct,1,regulates,"Replaces AKT -| FOXO1FOXO3. FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges."
1609,AKT,FOXO3,negative,SL,direct,1,regulates,"Replaces AKT -| FOXO1FOXO3. FOXO1FOXO3 unites the FOXO1 and FOXO3 nodes, which are represented separately in other models. AKT has direct effects on both FOXO1 and FOXO3, which are included as separate edges."
1610,pertuzumab,HER2HER3c,negative ,SL,direct,1,regulates,"Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1611,pertuzumab,HER2HER3c,negative ,SS,direct,1,regulates,"Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1612,HER2,HER2HER3c,positive,T47D,,0,necessary,"Replaces HER2 -> HER2HER3c. The effect of HER2 on HER3 is through HER2-HER3 heterodimer formation, which is represented by the HER2HER3c node."
