regulator,target,constraint,sign,model,direct?,Note
APC,CD28,regulate,positive,N10,direct,
APC,TCR,necessary,positive,N10,direct,
APC,TCR,necessary,positive,N10,direct,
CD28,NFAT,regulate,positive,N10,direct,
FOXP3,NFKB,regulate,negative,N10,direct,
IFNB_e,IFNBR,regulate,positive,N10,direct,
IFNG,IFNGR,regulate,positive,N10,direct,
IFNG_e,IFNGR,regulate,positive,N10,direct,
IKB,NFKB,regulate,negative,N10,direct,
IL10,IL10R,regulate,positive,N10,direct,
IL10_e,IL10R,regulate,positive,N10,direct,
IL12_e,IL12R,regulate,positive,N10,direct,
IL12RB2,IL12R,regulate,positive,N10,direct,
IL15_e,IL15R,regulate,positive,N10,direct,
IL2,IL2R,regulate,positive,N10,direct,
IL2_e,IL2R,regulate,positive,N10,direct,
IL21,IL21R,regulate,positive,N10,direct,
IL21_e,IL21R,regulate,positive,N10,direct,
IL23,IL23R,regulate,positive,N10,direct,
IL23_e,IL23R,regulate,positive,N10,direct,
IL27_e,IL27R,regulate,positive,N10,direct,
IL2R,IL2R_2,necessary,positive,N10,,constraint from multi-level
IL4,IL4R,regulate,positive,N10,direct,
IL4_e,IL4R,regulate,positive,N10,direct,
IL4R,IL4R_2,necessary,positive,N10,,constraint from multi-level
IL6_e,IL6R,regulate,positive,N10,direct,
NFAT,FOXP3,regulate,positive,N10,direct,
NFAT,IL2RA,regulate,positive,N10,direct,
NFKB,IL2,regulate,ambiguous,N10,direct,treat as positive
NFKB,IL2RA,regulate,positive,N10,direct,
RORGT,FOXP3,regulate,negative,N10,direct,
RUNX3,IFNG,regulate,positive,N10,direct,
RUNX3,IL4,regulate,negative,N10,direct,
SMAD3,FOXP3,regulate,positive,N10,direct,
STAT3,IL17,regulate,positive,N10,direct,
STAT3,IL21,regulate,positive,N10,direct,
STAT5,FOXP3,regulate,positive,N10,direct,
STAT5,IL17,regulate,negative,N10,direct,
STAT5,IL2RA,regulate,positive,N10,direct,
STAT5,STAT5_2,necessary,positive,N10,,constraint from multi-level
TBET,IL4,regulate,negative,N10,direct,
TBET,TBET,regulate,positive,N10,direct,
TCR,IKB,regulate,negative,N10,direct,
TCR,NFAT,regulate,positive,N10,direct,
TGFB,TGFBR,regulate,positive,N10,direct,
TGFB_e,TGFBR,regulate,positive,N10,direct,
